Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|1108398.6|133007.83|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|1108398.6|133007.83|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|1108398.6|133007.83|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|1108398.6|133007.83|
COREA DEL SUR|CENTRAL DE GUATEMALA|08/08/2012| 87032369|2013|KIA|SPORTAGE LX|2000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|1108398.6|133007.83|
COREA DEL SUR|CENTRAL DE GUATEMALA|09/08/2012| 87032373|2013|KIA|SPORTAGE EX 4WD|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|267760.72|32131.29|
COREA DEL SUR|CENTRAL DE GUATEMALA|09/08/2012| 87032373|2013|KIA|SPORTAGE EX 4WD|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|267760.72|32131.29|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
CHINA|CENTRAL DE GUATEMALA|08/08/2012| 87112090|2012|ASIA HERO|DUKE 125CC|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|292866.63|35144|
JAPON|CENTRAL DE GUATEMALA|08/08/2012| 87032373|2013|SUZUKI|GRAND VITARA JLX 4X4 MT|2400|LIVIANO|JEEP|OCASIONAL|GASOLINA|5|5|0|129802.6|15576.31|
TAILANDIA|PUERTO QUETZAL|13/08/2012| 87042159|2013|MAZDA|BT-50 DBL CAB 4X4 TURBO|2500|LIVIANO|PICK UP|DISTRIBUIDOR|DIESEL|5|4|1|376735.19|45208.22|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
CHINA|PUERTO QUETZAL|08/08/2012| 87112090|2012|YAMAHA|YBR125G|125|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|2642617.45|317114.09|
